#{"t_start": 1769877804.0415854, "env_id": "SocNavGym-v1"}
r,l,t
106.75846,183,1160.183597
103.552809,142,1161.475491
99.306318,182,1163.139731
103.514125,53,1163.679676
99.876196,107,1164.671682
105.529372,197,1166.432365
102.195108,103,1167.380452
93.329951,351,1170.668814
103.570438,77,1171.385252
95.102604,191,1173.05144
103.059936,66,1173.786543
104.332257,68,1174.541021
105.538265,77,1175.355838
103.36078,143,1176.622504
100.659932,144,1177.872444
106.930894,370,1181.118966
101.776272,30,1181.434718
107.325931,219,1183.385345
100.92169,44,1183.807939
100.835963,69,1184.464465
105.051451,83,1185.251827
101.761969,50,1185.742784
106.684794,130,1186.892716
105.382651,163,1188.314414
102.156678,192,1189.890803
101.814758,98,1190.734981
103.665103,143,1191.914159
103.504428,49,1192.377785
107.595393,131,1193.484594
104.939195,118,1194.513972
100.239522,74,1195.145495
103.161466,48,1195.588617
-499.555653,600,1201.087215
104.281943,68,1201.747245
101.078706,46,1202.185473
107.600792,153,1203.615632
105.443432,70,1204.318647
61.130628,100,1205.273745
103.873457,58,1205.853928
105.183714,139,1207.144818
102.213675,26,1207.418038
105.579751,222,1209.401968
103.726984,79,1210.106587
102.139439,55,1210.621979
104.437873,106,1211.598962
102.081417,41,1211.995344
102.012807,102,1212.9158
103.385414,74,1213.605122
101.936253,26,1213.874948
105.049029,351,1217.132187
104.010972,72,1217.838624
102.25161,78,1218.653146
106.689517,111,1219.897921
102.118971,26,1220.204323
104.142143,116,1221.307186
100.170904,4,1221.38544
98.845008,376,1224.700763
104.481357,82,1225.495377
102.824656,41,1225.91128
101.825063,35,1226.267303
102.005092,34,1226.622891
100.337496,6,1226.725071
99.380645,89,1227.599706
105.159427,159,1229.069748
103.910666,70,1229.747565
99.133541,225,1231.715571
102.635136,45,1232.178015
100.271306,76,1232.891893
103.432419,53,1233.405704
102.971488,47,1233.870527
109.847313,294,1236.501348
108.640946,150,1237.879616
101.175765,51,1238.357953
101.275712,20,1238.576147
104.810735,122,1239.707966
100.580307,8,1239.824029
101.547166,366,1242.9984
38.093339,197,1244.836123
103.861749,370,1248.062471
103.108999,46,1248.529231
103.201711,52,1249.050918
105.618549,73,1249.762373
103.357787,51,1250.267881
96.858054,135,1251.505917
102.878946,63,1252.12062
